employee_id,first_name,last_name,ssn,address,city,state,zip,employer_name,employer_ein,employer_address,employer_city,employer_state,employer_zip,box1_wages,box2_federal_tax,box3_ss_wages,box4_ss_tax,box5_medicare_wages,box6_medicare_tax,box12_codes,box13_retirement_plan,box15_state,box16_state_wages,box17_state_tax
EMP0001,Donald,Martinez,470-57-2862,3710 Oak St,Phoenix,AZ,85205,Apex Engineering,18-7327619,5420 Corporate Dr,Phoenix,AZ,85195,133041.00,25214.29,133041.00,8248.54,133041.00,1929.09,,,AZ,133041.00,5237.90
EMP0002,Sandra,Jones,682-93-2548,5435 Elm St,Mesa,AZ,85170,Valley Medical Group,44-8857970,120 Corporate Dr,Mesa,AZ,85183,123808.00,22521.15,141683.00,8784.35,141683.00,2054.40,D:17875.00,X,AZ,123808.00,4180.15
EMP0003,David,Anderson,822-22-0596,5908 Maple St,Scottsdale,AZ,85022,TechCorp Industries,84-2801463,1590 Corporate Dr,Scottsdale,AZ,85196,23397.00,-1121.87,26064.00,1615.97,26064.00,377.93,D:2667.00,X,AZ,23397.00,731.08
EMP0004,Kevin,Moore,681-37-5822,6330 Maple St,Peoria,AZ,85017,Midwest Manufacturing,66-9205755,3612 Corporate Dr,Peoria,AZ,85026,83323.00,8903.75,83323.00,5166.03,83323.00,1208.18,,,AZ,83323.00,2818.08
EMP0005,George,Johnson,644-21-3931,1358 Oak St,Scottsdale,AZ,85092,Riverside Healthcare,23-3017792,6395 Corporate Dr,Scottsdale,AZ,85160,80528.00,7246.32,80528.00,4992.74,80528.00,1167.66,,,AZ,80528.00,3333.27
EMP0006,Amanda,Robinson,993-44-1578,5306 Maple St,Phoenix,AZ,85231,Horizon Retail Corp,84-3751533,9635 Corporate Dr,Phoenix,AZ,85151,74584.00,8461.08,74584.00,4624.21,74584.00,1081.47,,,AZ,74584.00,2699.79
EMP0007,Betty,Jackson,692-36-7900,1710 Maple St,Flagstaff,AZ,85073,Riverside Healthcare,46-1121767,1623 Corporate Dr,Flagstaff,AZ,85183,148118.00,32428.98,155197.00,9622.21,155197.00,2250.36,D:7079.00,X,AZ,148118.00,4130.42
EMP0008,Margaret,Wright,636-12-5464,8579 Maple St,Phoenix,AZ,85047,Riverside Healthcare,69-7920600,7782 Corporate Dr,Phoenix,AZ,85253,119525.00,23934.60,132810.00,8234.22,132810.00,1925.75,D:13285.00,X,AZ,119525.00,3758.03
EMP0009,Mark,Mitchell,548-92-5601,1347 Oak St,Glendale,AZ,85230,Global Solutions LLC,51-0542256,4151 Corporate Dr,Glendale,AZ,85156,80182.00,7149.42,85581.00,5306.02,85581.00,1240.92,D:5399.00,X,AZ,80182.00,2012.48
EMP0010,Carol,Martinez,898-78-5354,7757 Main St,Chandler,AZ,85286,Apex Engineering,37-3510774,7409 Corporate Dr,Chandler,AZ,85163,49594.00,1402.96,56645.00,3511.99,56645.00,821.35,D:7051.00,X,AZ,49594.00,1622.67
EMP0011,Ashley,Miller,650-80-7815,9030 Cedar St,Mesa,AZ,85221,Valley Medical Group,52-9586328,2102 Corporate Dr,Mesa,AZ,85261,103480.00,19116.57,110319.00,6839.78,110319.00,1599.63,D:6839.00,X,AZ,103480.00,3783.88
EMP0012,Barbara,Rodriguez,164-46-4782,3402 Elm St,Glendale,AZ,85100,Pioneer Financial Services,93-1014267,7661 Corporate Dr,Glendale,AZ,85290,153814.00,31126.28,167963.00,10413.71,167963.00,2435.46,D:14149.00,X,AZ,153814.00,4428.14
EMP0013,Karen,Sanchez,778-06-2652,7679 Elm St,Chandler,AZ,85022,Apex Engineering,58-0041629,9935 Corporate Dr,Chandler,AZ,85116,36020.00,1578.27,37415.00,2319.73,37415.00,542.52,D:1395.00,X,AZ,36020.00,1416.77
