tax_year,employee_id,ssn,employee_first,employee_last,dob,address_line1,address_line2,city,state,zip,employer_id,employer_name,ein,employer_address_line1,employer_city,employer_state,employer_zip,w2_box1_wages,w2_box2_fed_withheld,w2_box3_ss_wages,w2_box4_ss_tax,w2_box5_medicare_wages,w2_box6_medicare_tax,w2_box13_statutory_employee,w2_box13_retirement_plan,w2_box13_third_party_sick_pay,w2_box14_other,regular_wages,overtime_wages,supplemental_wages,pre_tax_401k,roth_401k,hsa_contrib,fsa_contrib,dca_contrib,gtl_imputed_income,hire_date,term_date,Challenge_flags,notes_for_instructor,w2_box12a_code,w2_box12a_amount,w2_box12b_code,w2_box12b_amount,w2_box12c_code,w2_box12c_amount,w2_box12d_code,w2_box12d_amount,state1_abbr,state1_id,state1_wages,state1_tax,locality,locality_code,local_wages,local_tax
2025,E001,214-13-5506,Danielle,Johnson,1999-11-27,32181 Johnson Course Apt. 389,,New Jamesside,IN,59379,ER04,"Ramirez, Booth and Blake",38-3341057,654 Jason Track,Curtisfurt,MI,45583,117092.56,13927.77,122179.25,7575.11,122179.25,1771.6,False,True,False,,122179.25,0.0,0.0,5086.69,3428.42,0.0,0.0,0.0,0.0,2022-02-10,,[],,E,637.56,H,1846.91,F,4550.59,BB,978.16,TX,10-4332181,38019.35,902.88,County Tax,LOC960,38019.35,478.3
2025,E002,470-83-4150,Joseph,Williams,1974-05-30,161 Calderon River Suite 931,,Lake Jeremyport,IN,13739,ER02,Ramirez-Reid,15-4823498,55341 Amanda Gardens Apt. 764,Lake Mark,WI,7832,29613.45,5391.95,31123.21,1929.64,31123.21,451.29,False,True,False,,31123.21,2392.57,0.0,1509.76,0.0,0.0,0.0,0.0,0.0,2023-04-19,,[],,D,3586.85,BB,2807.36,AA,3740.96,D,4673.44,NY,01-3389083,101323.24,3405.48,County Tax,LOC863,101323.24,833.86
2025,E003,569-28-5339,Lydia,Trujillo,1994-10-30,1395 Diana Locks Suite 242,,Lake Anna,WA,77123,ER03,Hurst-Ross,41-5408072,87101 Courtney Turnpike,Carlsonfurt,PA,61849,103824.51,20196.08,112444.51,6971.56,112444.51,1630.45,False,True,True,,87503.6,3791.75,24940.9,3638.23,1494.33,0.0,0.0,4981.77,0.0,2024-09-16,2025-11-17,"[""third_party_sick_pay""]",Third-party sick pay present; FITW appears lower than expected.,S,1062.16,W,1031.94,S,3820.49,D,4513.52,OH,79-4026542,46858.49,2665.86,City Tax,LOC351,46858.49,622.31
2025,E004,256-57-3646,John,Tran,1997-06-06,184 Rodriguez Mews,,South Aaron,VA,35023,ER09,"Gill, Romero and Rodriguez",77-1009594,893 Nathaniel Estates Apt. 957,North Sarahport,AR,32072,188766.64,16930.43,176100.0,10918.2,191700.66,2779.66,False,False,False,,168085.0,0.0,23298.37,0.0,0.0,0.0,2934.03,0.0,317.29,2022-04-19,2025-12-20,[],,DD,5369.98,S,3675.44,E,752.03,G,4751.88,CA,16-1559407,116255.18,6354.43,Transit Tax,LOC816,116255.18,1066.01
2025,E005,787-93-7118,Stacey,Miller,1973-05-26,82278 Joseph Well Suite 383,,Raymondstad,NC,59678,ER08,Wright Inc,76-8574680,98393 Chad Roads Apt. 310,Chadbury,TN,64125,96965.24,11537.59,100407.82,6225.28,100407.82,1455.91,False,True,False,,98903.0,0.0,1504.82,3048.34,0.0,0.0,394.24,0.0,0.0,2025-12-11,,[],,S,1394.6,S,1652.29,H,4360.01,E,3850.22,NY,18-4959310,85743.29,2554.5,Transit Tax,LOC341,85743.29,916.75
2025,E006,512-53-2790,Amber,Cummings,1962-10-24,76311 Gomez Loop Suite 010,,Chandlerville,ID,25432,ER04,"West, Henderson and Ramirez",34-4191175,78108 Tanya Terrace,East Richard,IL,53066,68762.44,14418.89,76747.0,4758.31,76747.0,1112.83,False,True,False,,76747.0,0.0,0.0,5845.3,0.0,0.0,0.0,2139.26,0.0,2022-05-27,,[],,BB,1707.88,S,5135.69,D,1759.76,D,4927.75,TX,31-6475255,60435.38,1718.74,School Tax,LOC341,60435.38,494.93
2025,E007,777-72-3536,Franklin,Smith,1972-09-20,7468 Moore Hill Apt. 098,,Lake Leeton,NJ,66410,ER04,"Moore, Yu and Miller",47-4652414,91361 Beth Canyon,South Dianeshire,MD,34680,76677.44,7421.16,81862.83,5075.5,81862.83,1187.01,False,True,False,,66842.57,2897.2,15020.26,3100.28,0.0,0.0,2085.11,0.0,0.0,2024-05-15,,[],,AA,2675.98,AA,1285.79,F,1856.45,BB,3464.38,AZ,92-8327648,90535.67,5062.11,Transit Tax,LOC350,90535.67,944.28
2025,E008,568-50-2188,Elizabeth,Edwards,1972-09-04,2475 Albert Road Apt. 183,,Davidstad,CA,32519,ER01,Mitchell-Kim,68-2677407,808 Huynh Cove Apt. 411,West Juan,VT,45443,87514.48,13481.75,95877.0,5944.37,95877.0,1390.22,False,True,False,,95877.0,0.0,0.0,3206.09,0.0,5156.43,0.0,0.0,0.0,2024-05-19,,[],,F,3302.39,E,4656.8,E,1340.63,F,4856.44,TX,30-5641395,91658.86,3243.87,Transit Tax,LOC376,91658.86,1185.76
2025,E009,803-91-5325,Grace,Farrell,1960-07-05,0164 Adam Trail Apt. 427,,Hoffmanville,UT,20037,ER09,"Johnson, Wood and Tran",72-5213115,04505 Evelyn Shores Apt. 586,East Michelle,HI,54541,147388.07,19409.57,155112.19,9781.16,155112.19,2249.13,False,True,False,,146037.01,6328.72,9005.36,5903.87,0.0,0.0,0.0,1820.24,69.82,2025-07-03,,"[""ss_overcap""]",SS tax slightly exceeds cap—check Box 3/4 math and wage base.,BB,5234.29,D,4241.56,E,4249.41,BB,4629.83,AZ,72-4238849,67316.67,2136.63,County Tax,LOC696,67316.67,794.73
2025,E010,516-89-3532,Harry,Middleton,1988-05-24,342 Patrick Camp Suite 337,,Kevinbury,AK,87012,ER04,Ross LLC,30-3970445,5868 Crosby Crescent,Gregoryview,CT,78694,30962.81,6016.76,33151.72,2055.41,33151.72,480.7,False,False,False,,33151.72,2550.13,0.0,0.0,0.0,0.0,0.0,2188.91,0.0,2022-06-18,,[],,H,5845.38,F,3292.25,E,5287.85,H,5129.18,OH,53-2871012,92852.17,2424.7,County Tax,LOC269,92852.17,1215.5
2025,E011,756-75-7548,Michael,Hartman,1979-07-02,816 Jonathan Station Suite 088,,West Ryan,MA,82179,ER09,Alvarado-Martinez,52-1463060,465 Terry Plaza Apt. 366,New Ashley,OH,554,125717.91,14540.68,132575.82,8219.7,132575.82,1922.35,False,True,False,,108475.0,0.0,24100.82,6857.91,4223.38,0.0,0.0,0.0,0.0,2024-07-05,,[],,BB,5551.71,DD,2282.86,D,1115.27,S,5332.97,PA,16-6978480,57747.97,1711.35,City Tax,LOC184,57747.97,362.93
2025,E012,738-50-3041,Justin,Jordan,1966-01-28,7738 Leon Underpass Apt. 148,,Clarencebury,ME,29945,ER05,Hernandez Inc,74-6188935,9176 Jennifer Lights,Rossberg,UT,1227,73349.44,12728.44,76302.45,4730.75,76302.45,1106.39,False,True,True,,59344.14,1376.1,16958.31,2953.01,0.0,0.0,0.0,0.0,0.0,2022-03-28,,"[""third_party_sick_pay""]",Third-party sick pay present; FITW appears lower than expected.,AA,4988.13,BB,4712.09,F,4128.63,BB,1408.2,OH,51-4627048,117881.14,4352.82,County Tax,LOC281,117881.14,2231.93
2025,E013,195-40-6085,Kimberly,Robinson,1973-05-19,83172 Contreras Points Suite 798,,Rivasside,GA,97973,ER04,Cole-Walton,35-3472189,734 Jones Heights Apt. 455,East Edwardfurt,FL,93092,98686.13,9933.74,104184.0,6459.41,104184.0,1510.67,False,True,False,,104184.0,0.0,0.0,5497.87,0.0,0.0,0.0,0.0,0.0,2022-01-26,,[],,G,4421.22,W,5973.32,S,2909.55,BB,2983.17,NY,48-9325288,56346.25,1888.92,County Tax,LOC095,56346.25,779.08
2025,E014,567-27-8612,Caleb,Russell,1968-01-21,0366 Melissa Track Suite 705,,Karenchester,WA,96790,ER09,"Marsh, Hurst and Freeman",81-6323376,7065 Ramsey Ville Suite 298,South Brittanytown,SD,56680,102806.04,17245.18,112582.63,6980.12,112582.63,1632.45,False,True,False,,112582.63,8650.37,0.0,7563.61,0.0,0.0,2212.98,0.0,0.0,2024-03-18,,[],,D,890.46,D,1759.18,D,5227.99,E,3327.86,PA,70-1543039,98552.89,2815.6,County Tax,LOC117,98552.89,1562.09
2025,E015,319-18-7797,Michelle,White,2000-01-20,5375 Juarez Light Suite 641,,Smithside,MI,29890,ER07,"Jones, Bernard and Williams",52-8816912,30923 Thomas Crescent,South Holly,MN,22493,83968.3,17199.21,94220.0,5841.64,94220.0,1366.19,False,False,False,,94220.0,0.0,0.0,7283.5,0.0,2968.2,0.0,0.0,0.0,2025-02-12,,"[""box13_ret_plan_inconsistent""]",Box 13 retirement plan flag inconsistent with Box 12 deferrals.,DD,3669.16,G,4815.41,W,1547.25,E,4124.41,PA,18-2278248,75239.97,2910.36,City Tax,LOC963,75239.97,1136.16
2025,E016,151-43-7211,Catherine,Adkins,1988-04-28,41904 Sanders Stravenue,,North Brittany,SC,32331,ER06,Terry LLC,37-8628588,058 Stanley Cliff,Alexanderchester,NM,14334,139958.56,15590.14,139958.56,8677.43,139958.56,2029.4,False,False,False,,139385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.56,2023-07-08,,[],,E,833.37,S,4903.26,E,1867.61,G,3449.57,NY,83-4657871,75078.76,2338.09,County Tax,LOC331,75078.76,1360.22
